Id,true_answer,pred_answer,true_perm_idx,pred_perm_idx,gt_rank,top1_margin,correct
R03j1I,"[2, 4, 3, 1]","[1, 4, 2, 3]",19,3,3,0.4478088617324829,0
gG5XeX,"[3, 4, 1, 2]","[4, 2, 1, 3]",16,15,3,0.19783246517181396,0
G4eptB,"[2, 4, 3, 1]","[1, 4, 3, 2]",19,5,2,1.5491507053375244,0
InbfpO,"[4, 1, 2, 3]","[4, 2, 3, 1]",9,21,2,1.5566887855529785,0
A3zcqS,"[1, 2, 3, 4]","[3, 1, 2, 4]",0,8,5,1.074478030204773,0
KNt042,"[1, 4, 3, 2]","[1, 3, 4, 2]",5,4,2,3.8650596141815186,0
lP923E,"[1, 2, 3, 4]","[1, 3, 2, 4]",0,2,3,3.76674485206604,0
lb7Ahz,"[1, 2, 3, 4]","[1, 4, 2, 3]",0,3,3,0.14555370807647705,0
0lCD1I,"[1, 4, 3, 2]","[1, 3, 4, 2]",5,4,2,1.5279515981674194,0
HREFAh,"[1, 2, 3, 4]","[4, 1, 2, 3]",0,9,5,0.42765259742736816,0
AEq49f,"[4, 1, 2, 3]","[3, 2, 1, 4]",9,14,4,2.4378674030303955,0
HiPvOH,"[1, 3, 2, 4]","[2, 3, 1, 4]",2,12,2,0.15362632274627686,0
GsXybM,"[4, 1, 3, 2]","[3, 1, 4, 2]",11,10,2,7.325972557067871,0
5rihCT,"[3, 1, 2, 4]","[3, 2, 1, 4]",8,14,2,2.909679412841797,0
W5FlgK,"[1, 2, 3, 4]","[3, 2, 1, 4]",0,14,2,2.384185791015625e-07,0
LvtFxl,"[2, 1, 3, 4]","[2, 1, 4, 3]",6,7,2,0.2423529028892517,0
EIjAaJ,"[4, 3, 1, 2]","[4, 2, 1, 3]",17,15,2,3.338468074798584,0
cROadH,"[3, 1, 4, 2]","[3, 2, 4, 1]",10,20,3,2.8252313137054443,0
04eUIC,"[2, 4, 3, 1]","[1, 4, 3, 2]",19,5,2,0.03523838520050049,0
PLqot7,"[2, 1, 4, 3]","[1, 2, 4, 3]",7,1,4,0.34231865406036377,0
ZSH7Qr,"[1, 2, 4, 3]","[2, 1, 4, 3]",1,7,2,0.16456103324890137,0
4KEKNs,"[3, 1, 2, 4]","[1, 3, 2, 4]",8,2,2,0.4428172707557678,0
GqTeco,"[4, 2, 1, 3]","[1, 4, 2, 3]",15,3,3,0.296139121055603,0
